PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007317399 uM,Activity at 0.00164 uM,Activity at 0.00366 uM,Activity at 0.00370 uM,Activity at 0.00818 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.091 uM,Activity at 0.092 uM,Activity at 0.204 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.111 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
9321,26748019,12309655,CNCC(C1=CC(=C(C=C1)O)O)O.C(C(C(=O)O)O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.1643,,,-11.0552,,,-7.6991,,-10.7237,,,-10.4615,,-7.1528,,-0.5883,,-22.1643,QC'd by Microsource
9322,4252726,409514,C1CN(CCN1CCO)C2=NC3=NC=NC(=C3N2)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.6808,-0.6789,,5.4487,,,-1.1053,,-4.0259,,,0.7886,,-4.9749,,-3.6808,,,QC'd by NCI
9323,17385462,5459607,C[C@H](/C=C(\C1=CN=CC=C1)/C(C2=CC=C(C=C2)C(=O)OC)NC(=O)OCC3=CC=CC=C3)C(=O)N[C@H](CC4=CC=CC=C4)CO,Active,86,,,Inhibitor,1,74.257,,Complete curve; high efficacy,-6,1.4641,0.9787,-86.4817,-12.2247,-1.1,0 0 0 0 0 0 0,-87.7979,,,-20.9578,,,-4.0408,,-15.8483,,,-27.9672,,-69.408,,-83.7254,,-87.7979,QC'd by UPCMLD
9324,4239366,3234473,C1C[C@@H](OC1)CN2C3=NC(=NC=C3N=C(C2=O)C4=CC=C(C=C4)F)OC5=CC(=CC=C5)Cl,Inconclusive,21,,,Inhibitor,12.5893,62.6974,,Partial curve; partial efficacy,-4.9,1.7137,0.9523,-61.4944,1.203,-2.2,0 0 0 0 0 0 0,-57.7429,,,3.8018,,,-8.4264,,8.1979,,,2.4996,,-3.4878,,-26.3001,,-57.7429,QC'd by Pharmacopeia
9325,26754254,11871025,C1=CN2[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)OC2=NC1=N,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.7682,-2.552,-3.3901,-4.1747,,-4.8644,-6.6981,-1.7267,-5.0084,,-3.0658,-1.9697,-3.1715,-2.1002,-2.0641,-1.5876,-7.5435,-3.7682,QC'd by Timtec
9326,26751269,16758657,C#CCCCO/N=C\1/C[C@H]([C@H]([C@H]2[C@@H]1CC[C@H]3[C@H]2C(=O)N(C3=O)C[C@@H]4CCCO4)O)O,Inconclusive,20,,,Inhibitor,6.3096,39.0332,,Single point of activity,-5.2,4.5045,0.9301,-45.7856,-6.7524,-3,0 0 0 0 0 0 0,-43.2408,-2.2076,,-4.8628,,,-5.3554,,-10.6215,,,-13.2576,,-7.0562,,-43.2408,,,QC'd by BUCMLD
9327,11113706,1645,C1=CC(=CC(=C1)N)C(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.919,-1.4828,-7.0746,-8.5464,,-11.5508,-6.2137,-3.768,-1.2236,,-1.7043,-7.6155,-5.4721,-10.9367,-3.0565,-12.706,-9.5307,-23.919,QC'd by SigmaAldrich
9328,17389575,700,C(CO)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.6073,1.3356,-2.5809,-1.6248,,-5.1483,-8.2904,-3.4599,-5.9192,,-8.6177,-19.2915,-10.7437,-10.4213,-8.0647,-11.9922,-14.5366,-14.6073,QC'd by NIEHS/NTP
9329,4254175,3246633,COC1=CC2=C(C=C1)C(=CC(=N2)NC(=S)NC3=CC=CC=C3)Cl,Inactive,0,,,Activator,3.1623,76.5167,,Single point of activity,-5.5,3.6272,0.983,67.9371,-8.5796,3,0 0 0 0 0 0 0,67.1831,-8.5223,,-8.2309,,,-11.2392,,-13.3997,,,-1.3085,,8.6968,,67.1831,,,QC'd by NCI
9330,11111749,6603989,CC[C@@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,Active,42,,,Inhibitor,12.5893,89.3285,,Partial curve; partial efficacy,-4.9,0.8,0.9866,-88.8942,0.4343,-2.2,0 0 0 0 0 0 0,-70.9261,,,-3.1295,,,4.7312,,0.0741,,,-8.2435,,-18.1167,,-39.6202,,-70.9261,QC'd by SigmaAldrich
9331,4238255,3233366,C1CC2(CCN(CC2)S(=O)(=O)C3=CC=CC=C3)CN(C1)C(=O)NC4=CC=CC=C4,Inconclusive,22,,,Inhibitor,5.0119,55.205,,Partial curve; partial efficacy,-5.3,1.111,0.9751,-49.705,5.5,-2.2,0 0 0 0 0 0 0,-46.2764,,,4.0754,,,11.9904,,2.0295,,,-1.4653,,-8.5807,,-34.8454,,-46.2764,QC'd by Pharmacopeia
9332,4254177,330812,CC1(CC(=O)C(C(=O)C1)C(C2C(=O)CC(CC2=O)(C)C)C3=C(C(=CC=C3)O)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.8763,,,-1.2214,,,-6.4745,,-5.3987,,,-3.9548,,-6.6224,,-5.8763,,,QC'd by NCI
9333,11112736,6604392,C[C@@H]1C[C@H]2[C@H]3C[C@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@]2([C@@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F,Inconclusive,20,,,Inhibitor,0.3981,19.5101,,Complete curve; partial efficacy; poor fit,-6.4,4.9549,0.526,-12.9485,6.5616,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 1 0,-2.0387,1.1601,-6.274,4.5412,,12.2594,6.6961,8.8134,17.8967,,6.5933,-6.4333,-11.8785,-5.368,-33.336,-39.2273,-2.0387,,QC'd by Prestwick
9334,4252727,2761812,C1=CC(=CC(=C1)[N+](=O)[O-])C[C@@H](C(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.8229,-0.9922,,-9.7382,,,-4.2822,,-2.2425,,,-2.2608,,-7.7583,,-9.8229,,,QC'd by NCI
9335,17385463,5459608,CCCCCCN(C(C1=CC=CC=C1)C(=O)NCCCC)C(=O)CCCCCN2C(=C(C(NC2=O)C3=CC=C(C=C3)C4=CC=CC=C4)C(=O)OCC5=CC=CC=C5)C,Inconclusive,23,,,Inhibitor,1.9953,49.9178,,Complete curve; partial efficacy,-5.7,3.132,0.9677,-43.6175,6.3002,-1.2,1 0 0 0 0 0 0,-45.682,,,-13.3808,,,-0.3465,,10.3223,,,9.8643,,-26.9742,,-39.9285,,-45.682,QC'd by UPCMLD
9336,11111476,6603930,CC1=CC=CC=C1/C=C\C2=NCCN2,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.5696,,,6.6934,,,-1.0119,,-0.4691,,,-18.4245,,0.2197,,-1.8091,,-6.5696,QC'd by SigmaAldrich
9337,26748997,13013858,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.3313,,,-14.9341,,,-6.7572,,-6.0998,,,-5.325,,-1.5879,,29.2934,,-4.3313,QC'd by Microsource
9338,26754253,221508,C=C[C@H]1CN2CCC1C[C@@H]2C(C3=CC=NC4=CC=CC=C34)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.2605,-7.6205,-7.4558,-11.5821,,-11.6136,-7.682,2.3127,-1.2076,,-5.5328,-7.3805,-3.1721,-11.3163,-7.7037,-9.563,-11.4414,-19.2605,QC'd by Timtec
9339,26751268,16758656,CC(=CCC/C(=C/CO/N=C\1/C[C@H]([C@H]([C@H]2[C@@H]1CC[C@H]3[C@H]2C(=O)N(C3=O)C[C@@H]4CCCO4)O)O)/C)C,Inconclusive,20,,,Inhibitor,5.0119,32.6418,,Single point of activity,-5.3,4.9549,0.9636,-36.2865,-3.6447,-3,0 0 0 0 0 0 0,-35.6554,-8.1258,,-0.9539,,,-1.3626,,-4.3111,,,-3.4836,,-4.195,,-35.6554,,,QC'd by BUCMLD
9340,855523,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.4759,,,-24.7998,,,-14.2379,,-10.5225,,,-12.4778,,-3.1439,,6.2224,,-13.4759,QC'd by SigmaAldrich
9341,4239365,3234472,C1=CC(=CC(=C1)Cl)OC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)F)CCC#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.6501,,,-6.1888,,,-8.8725,,0.5472,,,-3.8674,,1.8177,,-4.384,,-20.6501,QC'd by Pharmacopeia
9342,11113707,208820,CC[C@@]1(CC2=CC=CC=C2O1)C3=NCCN3,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.8018,4.4803,4.0311,0.0719,,0.1243,-18.6015,1.522,3.4392,,-0.1632,4.6118,-5.4117,-1.8494,-5.4577,-11.9597,-10.6419,-3.8018,QC'd by Tocris
9343,11112737,3351,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl,Active,66,,,Inhibitor,0.631,76.7785,,Complete curve; partial efficacy,-6.2,1.331,0.9491,-72.0309,4.7476,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-70.6488,7.2497,10.4057,-15.3521,,6.0308,14.3991,1.7547,5.1235,,-18.4666,-22.1038,-48.4227,-60.681,-63.5966,-69.2597,-70.6488,,QC'd by Prestwick
9344,11111750,6560181,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Active,41,,,Inhibitor,25.1189,124.293,,Partial curve; high efficacy,-4.6,1.3723,0.9828,-125.813,-1.5203,-2.1,0 0 0 0 0 0 0,-96.3979,,,-8.1851,,,4.9578,,3.3852,,,-1.2766,,-10.5598,,-32.9684,,-96.3979,QC'd by SigmaAldrich
9345,4254176,3246634,C1=CC=C2C(=C1)C(=O)N([C@@]2(C3=CC=C(C=C3)Cl)O)CCN,Inconclusive,21,,,Inhibitor,6.3096,36.1364,,Partial curve; partial efficacy,-5.2,1,0.8523,-40.2707,-4.1342,-2.2,0 0 0 0 0 0 0,-30.2256,-0.1118,,-9.767,,,-8.0196,,-4.19,,,-8.2346,,-10.8991,,-30.2256,,,QC'd by NCI
9346,4238254,3233365,COC(=O)N1CCC2(CCCN(C2)CC3=CC=C(C=C3)C#N)CC1,Inconclusive,21,,,Inhibitor,15.8489,51.6529,,Partial curve; partial efficacy,-4.8,1.3443,0.9888,-53.9252,-2.2723,-2.2,0 0 0 0 0 0 0,-46.9261,,,0.7967,,,-2.8422,,-3.1927,,,-3.7842,,-7.8293,,-20.817,,-46.9261,QC'd by Pharmacopeia
9347,17389576,4284,CCN(CC)C(=O)C1=CC=CC(=C1)C,Inactive,0,,,Inactive,,,,,,,,,,4,,10.5781,-49.5689,-6.5176,4.4933,,12.1369,-2.3285,3.2729,10.8566,,4.6609,9.5875,9.741,5.8069,4.6877,17.0077,17.4197,10.5781,QC'd by NIEHS/NTP
9348,11112733,6604389,C[C@@H]1OC[C@H]2[C@@H](O1)[C@H]([C@@H]([C@H](O2)O[C@H]3[C@@H]4COC(=O)[C@@H]4[C@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.0614,-13.5187,-10.9715,-10.0352,,-12.1104,-9.2064,-11.8039,-3.5535,,-5.0515,-4.5943,-7.9879,-10.9619,-7.5991,-8.1019,-15.0614,,QC'd by Prestwick
9349,26748017,16757673,CC([C@H](C1=CC=CC=C1)O)NC.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.574,,,-14.2971,,,-7.1387,,-11.2355,,,-10.6772,,-0.6441,,-11.2602,,-11.574,QC'd by Microsource
9350,4252728,3246086,[C@@H]1([C@H]([C@]2(C(=C([C@@]1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.5387,-12.5832,,-17.4059,,,-10.851,,-8.3155,,,-11.238,,-7.3373,,-9.5387,,,QC'd by NCI
9351,4238257,3233368,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)CCC4=CC=CC=C4)CCC#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.8722,,,3.5974,,,-5.7876,,-5.3777,,,-5.9928,,-5.0538,,-9.2115,,-20.8722,QC'd by Pharmacopeia
9352,4254178,432976,C1CNC(N1)CC2=CC=CC3=CC=CC=C32,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.7549,1.1219,,-14.5661,,,-22.1842,,-12.4301,,,-0.3143,,-5.6947,,-5.7549,,,QC'd by NCI
9353,17385460,5459605,C[C@H](/C=C(\C1=CN=CC=C1)/C(C2=CC=C(C=C2)C(=O)OC)NC(=O)OCC3=CC=CC=C3)C(=O)NCC4=NC5=CC=CC=C5S4,Active,64,,,Inhibitor,1.9953,61.9129,,Complete curve; partial efficacy,-5.7,1.8851,0.9221,-62.7702,-0.8573,-1.2,1 0 0 0 0 0 0,-63.1418,,,-23.8705,,,-16.254,,5.431,,,4.8852,,-36.09,,-60.7201,,-63.1418,QC'd by UPCMLD
9354,11111475,6603929,CC(C)[C@](CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,Active,86,,,Inhibitor,1.9953,100.127,,Complete curve; high efficacy,-5.7,1.21,0.9805,-100.643,-0.5159,-1.1,0 0 0 0 0 0 0,-96.7664,,,,6.4113,,-12.0184,,,0.7733,,-12.5206,,-56.7107,,-86.3701,,-96.7664,QC'd by SigmaAldrich
9355,26754252,16759276,CC[C@H]1[C@]([C@H]([C@@H](C(=O)[C@H](C[C@]([C@H](C([C@H]([C@@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@@H]3[C@H]([C@@H](C[C@@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,Active,41,,,Inhibitor,15.8489,76.6176,,Partial curve; partial efficacy,-4.8,1.3723,0.9853,-79.4522,-2.8346,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-72.3223,-2.52,-6.0057,-4.3998,,-4.7903,-4.9146,1.0238,-2.5855,,0.5199,-3.7453,-1.7452,-7.3761,-19.9444,-34.5199,-50.9694,-72.3223,QC'd by Timtec
9356,26748996,16757846,C[C@]12C3CCC([C@@]1(C(=O)OC2=O)C)O3,Inactive,0,,,Activator,3.1623,27.5,,Complete curve; partial efficacy,-5.5,1.4641,0.8818,41.5,14,1.2,0 0 0 0 0 0 0,41.5352,,,14.6461,,,17.878,,20.493,,,8.5942,,24.9522,,38.0665,,41.5352,QC'd by Microsource
9357,26751267,16758655,CC(C)CO/N=C\1/C[C@H]([C@H]([C@H]2[C@@H]1CC[C@H]3[C@H]2C(=O)N(C3=O)C[C@@H]4CCCO4)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.3653,-8.6153,,1.9891,,,-4.1393,,16.112,,,6.5311,,13.4986,,-0.3653,,,QC'd by BUCMLD
9358,4239368,3234475,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC4=C3C=C(C=C4)C5=CC=CC=C5OC,Inconclusive,24,,,Inhibitor,0.7943,61.2116,,Complete curve; partial efficacy,-6.1,1,0.9637,-53.7116,7.5,-1.2,0 0 0 0 0 0 0,-53.6302,,,8.0826,,,-0.724,,9.2616,,,-19.5554,,-33.6049,,-50.6892,,-53.6302,QC'd by Pharmacopeia
9359,17389573,8881,C(CCl)CCl,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.5543,-6.3107,-8.9504,5.0641,,5.0805,-2.03,0.3355,0.004,,-4.3056,6.5312,0.9087,-2.8701,-1.9038,-2.6096,-2.5952,-5.5543,QC'd by NIEHS/NTP
9360,11113704,3272300,C1CCN(CC1)CCOC(=O)C2=CNC3=CC=CC=C32,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.8788,-10.6151,-9.5304,-8.2948,,-15.0389,-18.479,-9.0247,-20.68,,-15.4194,-6.6726,-14.2374,-14.6709,-17.0013,-17.5579,-19.0964,-20.8788,QC'd by Tocris
9361,11112734,6604390,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@]4([C@@]3([C@@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F,Inactive,0,,,Activator,6.3096,141.272,,Partial curve; high efficacy,-5.2,1,0.9432,128.864,-12.4075,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,110.172,-33.0102,-20.6287,-18.2522,,-8.3936,-8.8879,-19.4112,9.1052,,-2.145,5.6996,9.0973,24.8398,44.582,83.1994,110.172,,QC'd by Prestwick
9362,4254179,330854,C1CCC(CC1)(N)P(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.2124,-9.1595,,-14.6247,,,-11.9022,,-8.8195,,,-7.329,,-9.4443,,-8.2124,,,QC'd by NCI
9363,11111474,6603928,CC(C)(CCP(=O)(O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,9.8499,,,0.7973,,,5.5679,,-1.8033,,,5.9358,,13.0564,,7.9883,,9.8499,QC'd by SigmaAldrich
9364,4252729,69096,C1=NC2=C(N1)C(=NC=N2)SCCC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.2129,2.3198,,-10.5925,,,-2.9414,,-2.9106,,,-4.6659,,-3.5306,,-2.2129,,,QC'd by NCI
9365,17385461,5459606,C[C@H](/C=C(\C1=CN=CC=C1)/C(C2=CC=C(C=C2)C(=O)OC)NC(=O)OCC3=CC=CC=C3)C(=O)NCC4=CN=CC=C4,Active,86,,,Inhibitor,1,87.6409,,Complete curve; high efficacy,-6,1.2221,0.9971,-82.5436,5.0973,-1.1,0 0 0 0 0 0 0,-82.7908,,,5.2631,,,1.1552,,3.0644,,,-19.8175,,-56.4927,,-79.8864,,-82.7908,QC'd by UPCMLD
9366,11113705,2146,C(=NN)(N)N,Inconclusive,20,,,Inhibitor,15.8489,74.6617,,Partial curve; partial efficacy; poor fit,-4.8,0.8,0.7625,-81.5016,-6.8399,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.9014,2.4973,-20.15,-19.8878,,-18.1371,-11.2058,-15.6746,-17.8983,,-10.0952,-20.6166,-16.7354,-10.9488,-22.1974,-39.5084,-49.8417,-65.9014,QC'd by Tocris
9367,26754251,16759275,COC1=C(C=C2C(=C1)[C@@]34CCN5[C@@H]3CC6[C@H]7[C@H]4N2C(=O)CC7OCC=C6C5)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.5549,14.3156,-5.2635,-1.6198,,1.209,2.8958,6.2707,0.3213,,1.9033,3.7489,-1.9632,-2.9757,0.3592,-1.6685,-13.8007,-9.5549,QC'd by Timtec
9368,855521,440707,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,Inactive,0,,,Activator,0.0251,29.0191,,Complete curve; partial efficacy; poor fit,-7.6,4.9549,0.3868,13.505,-15.5141,1.4,0 0 0 1 0 0 0,-6.6903,,,-14.5941,,,-11.6715,,30.8207,,,36.2297,,35.4308,,-4.7014,,-6.6903,QC'd by SigmaAldrich
9369,4239367,3234474,COC1=CC=CC(=C1)NC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)Cl)C5CC5,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.6271,,,-4.5784,,,-4.111,,0.4819,,,-4.4715,,-13.3217,,-12.3005,,-12.6271,QC'd by Pharmacopeia
9370,26751266,16758654,C1C[C@H](OC1)CN2C(=O)[C@H]3CC[C@H]\4[C@@H]([C@@H]3C2=O)[C@@H]([C@@H](C/C4=N/OCC5=CC=CC=C5)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.2671,11.2169,,16.4432,,,3.3996,,8.8142,,,13.9635,,11.38,,-11.2671,,,QC'd by BUCMLD
9371,4238256,3233367,COC1=CC=CC=C1CN2CCC3(CC2)CCN(CC3)C(=O)C4=CC=NC=C4,Active,41,,,Inhibitor,15.8489,75.1318,,Partial curve; partial efficacy,-4.8,1.1,0.9868,-77.8135,-2.6817,-2.2,0 0 0 0 0 0 0,-64.8446,,,1.9726,,,-5.9891,,-2.7175,,,-4.8484,,-12.2892,,-31.2282,,-64.8446,QC'd by Pharmacopeia
9372,17389574,8857,CCOC(=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.3498,-22.0832,5.015,-0.7384,,-8.5321,-7.0634,-4.6765,-4.3022,,-2.9273,-1.1784,-7.4843,-3.9295,3.2466,-7.6304,-11.4292,-9.3498,QC'd by NIEHS/NTP
9373,11111748,6603988,C[C@@H](CN1CCC(CC1)CC2=CC=CC=C2)[C@@H](C3=CC=C(C=C3)O)O,Inactive,0,,,Activator,10,91.9088,,Partial curve; high efficacy,-5,1.9673,0.9941,91.5746,-0.3342,2.1,0 0 0 0 0 0 0,88.0254,,,,1.8029,,-5.9463,,,2.5077,,-0.7106,,4.5552,,52.4114,,88.0254,QC'd by SigmaAldrich
9374,17385458,5459603,C[C@H](/C=C(\C1=CN=CC=C1)/C(C2=CC=C(C=C2)C(=O)OC)NC(=O)OCC3=CC=CC=C3)C(=O)NCCF,Active,43,,,Inhibitor,6.3096,78.6659,,Partial curve; partial efficacy,-5.2,1,0.9993,-84.6509,-5.985,-2.2,1 0 0 0 0 0 0,-75.9129,,,-27.166,,,-5.3579,,-7.9389,,,-11.3024,,-27.1776,,-57.5993,,-75.9129,QC'd by UPCMLD
9375,4254180,155079,CC(C)C(=O)CP(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,2.7441,-4.8447,,-20.2891,,,0.5286,,0.3436,,,3.4502,,2.306,,2.7441,,,QC'd by NCI
9376,11111481,688525,C[C@@H]([C@H](C1=C(C=CC(=C1)OC)OC)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.2143,,,-7.5626,,,-12.8125,,-11.4391,,,-22.9307,,-17.9902,,-5.9653,,-19.2143,QC'd by SigmaAldrich
9377,4252722,9561125,C1=CC(=CC=C1C/C(=N\O)/C(=O)O)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,,-11.5998,-6.4742,,-9.1101,,,-2.8297,,-2.7085,,,-7.0604,,-7.3625,,-11.5998,,,QC'd by NCI
9378,4238259,3233370,C1=CC=C(C(=C1)C2=CN=CN=C2NCC3=CC=CS3)Cl,Active,89,,,Inhibitor,0.5012,100.403,,Complete curve; high efficacy,-6.3,1.4163,0.9993,-100.403,0,-1.1,0 0 0 0 0 0 0,-100.699,,,1.4806,,,-2.1581,,-7.6516,,,-48.7171,,-90.1744,,-97.8694,,-100.699,QC'd by Pharmacopeia
9379,11112731,91610,CC1(C2=C(C=C(C=C2)OC)C(=O)N(C1=O)CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C,Active,42,,,Inhibitor,10,90.6369,,Partial curve; partial efficacy,-5,1.21,0.989,-93.0515,-2.4146,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-73.8641,-2.6991,-7.0605,-2.3889,,0.2347,-2.4256,-2.2707,0.2823,,-4.8188,-6.4508,-7.9717,-16.3561,-29.3935,-47.7355,-73.8641,,QC'd by Prestwick
9380,26751273,16758661,C1C[C@H](OC1)CN2C(=O)[C@H]3CC[C@H]\4[C@@H]([C@@H]3C2=O)[C@@H]([C@@H](C/C4=N/NC(=O)OCC5=CC=CC=C5)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,8.7332,22.4049,,15.4,,,23.1597,,12.3203,,,16.6136,,13.588,,8.7332,,,QC'd by BUCMLD
9381,17389571,3118,CCOP(=S)(OCC)SCCSCC,Inconclusive,21,,,Inhibitor,19.9526,63.9386,,Partial curve; partial efficacy,-4.7,1.1,0.9412,-69.5548,-5.6162,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-55.6223,0.5399,-5.2201,-2.6558,,-3.1907,-6.5969,-1.4492,-8.6671,,-8.1663,-12.2985,-13.4481,-15.4961,-11.0079,-28.3932,-45.1993,-55.6223,QC'd by NIEHS/NTP
9382,26748015,9425,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl.Cl,Inconclusive,20,,,Inhibitor,25.1189,67.7831,,Partial curve; partial efficacy,-4.6,1.4781,0.974,-68.8876,-1.1045,-2.2,0 0 0 0 0 0 0,-53.9859,,,0.1575,,,2.0594,,-1.1621,,,-0.2301,,-9.3447,,-14.3311,,-53.9859,QC'd by Microsource
9383,11113710,44602,C1=CC(=CC=C1[C@@H](CC(=O)O)CN)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.267,-83.5032,-57.4352,-31.0184,,-18.5322,-5.7216,-4.6711,1.6605,,-1.87,-2.9936,-8.7515,-4.4325,-3.5813,-7.0634,-11.4276,-8.267,QC'd by Tocris
9384,4239362,3234469,COC1=CC=CC=C1C2=NC=CC(=N2)NC3=CC=C(C=C3)F,Active,43,,,Inhibitor,6.3096,91.5787,,Partial curve; high efficacy,-5.2,0.9,0.9889,-91.5338,0.0449,-2.1,0 0 0 0 0 0 0,-80.8989,,,0.2136,,,-6.4752,,3.6524,,,-7.7696,,-26.4356,,-56.6812,,-80.8989,QC'd by Pharmacopeia
9385,26754250,5320313,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.6176,-5.3119,-11.5149,-7.7813,,-8.5743,-4.5824,-7.9281,-6.1734,,-8.4351,-4.0006,-8.5853,-7.032,-8.4127,-7.4848,-10.3752,-13.6176,QC'd by Timtec
9386,4239360,3234467,C1COCCN1C2=NC=C3C(=N2)N(C(=O)C(=N3)CCC4=CC=CC=C4)CC5=CC=C(C=C5)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-36.3471,,,-27.3011,,,-23.2759,,-11.3159,,,-3.7651,,-23.7127,,-38.9572,,-36.3471,QC'd by Pharmacopeia
9387,17385459,5459604,C[C@H](/C=C(\C1=CN=CC=C1)/C(C2=CC=C(C=C2)C(=O)OC)NC(=O)OCC3=CC=CC=C3)C(=O)N(C)CC4=CN=CC=C4,Active,89,,,Inhibitor,0.631,91.4725,,Complete curve; high efficacy,-6.2,0.9,0.9672,-105.944,-14.4717,-1.1,0 0 0 0 0 0 0,-103.287,,,-17.6343,,,-11.0391,,-38.1571,,,-44.084,,-90.9683,,-97.6037,,-103.287,QC'd by UPCMLD
9388,11111480,6058,C(CS)N,Inactive,0,,,Activator,1,31.3903,,Complete curve; partial efficacy; poor fit,-6,2.8473,0.8539,19.4019,-11.9884,1.4,0 0 0 0 0 0 0,9.3689,,,,-7.1999,,-16.0878,,,-12.7695,,-9.0097,,15.5452,,30.252,,9.3689,QC'd by SigmaAldrich
