PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
4742,4239934,3235041,CC1=C(C(=NO1)C)C(=O)N2CCC3(CCN(CC3)C4=CC=NC=C4)CC2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,1.8,,-1.4,,-0.3,,1.2,,-12,,-11
4743,4240158,3235264,C1CN(CCC12CCN(CC2)S(=O)(=O)C3=CC=CC=C3)C4=CC=CC(=C4)C5=CC=CC=C5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-9.3,,0.3,,-5.9,,2.4,,-10.7,,-11
4744,4240459,3235564,COC1=CC=CC=C1CN2CC3(C2)CCN(CC3)C(=O)C4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-17.6,,-5,,3.5,,-2.9,,-5.1,,-11
4745,4266763,5771814,C[C@]1(C[C@H]1C2CCCCC2)C(C3=CC=C(C=C3)C4=CC=CC=C4)NC(=O)C5=CC=CS5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,,,-3.7,,-7.4,,-9.4,,-10.8,,-23,,-11
4746,11110715,2130,C1C2CC3CC1CC(C2)(C3)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-0.1,4.1,-4.1,-4.2,1.5,-4.8,2,6.1,-103.3,-7.5,6.3,-6.7,-8.9,-7.7,-11
4747,11110949,6603777,CC1=C(N2[C@H]([C@@H](C2=O)NC(=O)[C@H](C3=CC=CC=C3)N)SC1)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,2.9,-5.4,0.4,-3.7,-5,1.3,4.7,-0.5,-6.4,-3.1,-3.9,-9.2,-10.1,-5.6,-11
4748,11110983,146570,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,4.5,-1.5,-9,-11.8,-5,0.3,-7.1,-6.1,-13,-7.8,-4.1,-13.1,-8.9,-6.6,-11
4749,11114385,6605044,CC(C)[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)C[C@H](CO)NC(=O)[C@@H]4CCCC[C@H]4N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UWisc,,Analysis Verified,Inactive,,,,,,,,,-14.1,-10.7,-4,-0.8,10.1,5.9,-17.9,-6.4,10,10.8,2.6,-4.1,-5.8,-6.3,-11
4750,4237509,3232622,COCC(=O)N1CCC[C@]2(C1)CCN(C2)C(=O)NC3=CC=CC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,3.5,,3,,0.9,,2.1,,0.7,,-10.9
4751,4240137,3235243,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC(=CC=C3)OC)N4CCN(CC4)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,-8.6,,,,7,,6.3,,-4.3,,-3.3,,-10.9
4752,4266486,3247142,COC(=O)[C@]1([C@@H]2[C@@H](CC3=C2C=C(N3CC4=CN=C(C=C4)C(F)(F)F)C(=O)N5CCCC5)CN1C(=O)C6=CC=CC=C6)CC7=CC=CC=C7,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,2.2,,,,-2.3,,1.2,,-9.3,,-10.7,,-10.9
4753,4266492,3247148,CN(C)C(=O)C1=CC2=C(N1CCC3=CNC4=C3C=C(C=C4)O)C[C@@H]5[C@H]2[C@](N(C5)C(=O)C6=CC=CC=C6)(CC7=CC=C(C=C7)OC)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,2.5,,,,-9.1,,-7.2,,-7.4,,-3.7,,-10.9
4754,11110974,6603783,C1C(=C(N2[C@@H](S1)[C@@H](C2=O)NC(=O)[C@H](C3=CC=CC=C3)N)C(=O)O)Cl,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3,4.5,-8.6,-4.7,2,1.1,-4.9,-5.6,-1.6,-4.2,6.4,-9.9,-5.9,-7.5,-10.9
4755,11111346,6603893,CC(=C)[C@@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 1 0 0 0 1 0 0 0 0,,9.9,3.5,0.5,-4.2,-9.8,0,3.1,-5.6,-4.5,-1.9,4.2,-4.3,-12.9,0.6,-10.9
4756,4266520,3247176,CN(C)C(=O)C1=CC2=C(N1CC3=CN=C(C=C3)C(F)(F)F)C[C@@H]4[C@H]2[C@](N(C4)C(=O)C5=CC=CC=C5)(CC6=CC=C(C=C6)F)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,-4.9,,,,-0.6,,2.9,,-1.8,,-5.2,,-10.8
4757,4266576,3247232,COCCN1C2=C(C=C1C(=O)N3CCCC3)[C@H]4[C@@H](C2)CN([C@@]4(CC5=CC=C(C=C5)OC)C(=O)OC)C(=O)C6=CC=CC=C6,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,2.8,,,,2.2,,1.2,,-9.5,,-9.5,,-10.8
4758,11110723,3246700,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@@H](O2)CO)N=[N+]=[N-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,0.2,-4.8,-13.9,-14.9,-7,-2.1,-1.7,-0.3,-98.5,-1.4,1.5,1,-7.5,-4.7,-10.8
4759,11111069,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3.2,-2.7,-10.4,-1.6,-1.1,1.4,1.3,-5,0.3,-2.6,6.1,-1.9,-7.8,-1.9,-10.8
4760,11111171,3331,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,1.7,-2.5,-3.4,-4.1,-5.3,-5.2,-0.7,1.3,2.2,-2.9,-2.3,-7.9,-2.4,-6.3,-10.8
4761,11111926,5368,CC1=NC=CC(=C1)CN2C(=C(C3=C(C2=O)C(=NC=C3)OCC4=NC=CC=N4)C5=CC(=C(C(=C5)OC)OC)OC)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,2.8,-5.4,-7.1,-0.1,-2.9,-8.7,-5.3,-5.3,-7.7,-7.9,-2,-6.1,-10,-9.2,-10.8
4762,11113540,5227,CN(C)CCCCSC(=N)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,0 0 1 0 0 0 0 0 1 0 0 0 0 0 0,,2.5,10.1,-18.2,6.5,-3.3,-1.7,-6.6,-5,-13.7,-7.2,-5.1,3.6,4.8,4.1,-10.8
4763,11114353,6605012,CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](C(C)C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@@H]2CNCC[C@H]2N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UWisc,,Analysis Verified,Inactive,,,,,,,,,5,2.3,-2.7,-1,0.2,0.7,7.2,1.7,6.9,-17.2,7.4,-0.3,3.8,-3.3,-10.8
4764,4237813,3232926,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)F)CCC4=CC=CC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,-4,,,,-7.3,,-13.4,,-11.1,,-10.6,,-10.7
4765,4239487,3234594,CC1=C(C(=NO1)C)C(=O)N2CCC3(CCCN(C3)CC4=CC=CC=C4)CC2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-0.7,,-6.7,,-8.6,,-5.6,,-14.7,,-10.7
4766,4239611,3234718,CN1C=CC=C1C(=O)N2CCC3(CC2)CCN(CC3)C(=O)NC4=CC(=CC=C4)F,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,3.5,,-0.8,,-2.9,,0,,-6.1,,-10.7
4767,4239762,3234869,COCC(=O)N1CCC2(CC1)CCN(CC2)C(=O)NC3=CC=CC(=C3)C#N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-2.7,,-11.1,,-6.4,,-5.5,,-1.9,,-10.7
4768,4240327,3235433,COCC(=O)N1CCC[C@]2(C1)CCN(C2)C3=NC=CC=N3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,4.8,,-12.8,,-5.9,,-8.3,,-9.6,,-10.7
4769,11111375,6603903,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCN[C@H](C3)C)F)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0,,-7,7.3,2.9,9.2,5,9.4,-4.6,-6.8,-30.9,-1.8,4.5,-4.3,-9.9,-3.6,-10.7
4770,11111585,6603955,C1=CC=C(C=C1)CCNC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@H]([C@H]([C@@H](O4)CO)O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-1.3,1.1,3.5,1.7,-1.8,-11.2,-0.1,2.2,0.8,3.5,-2,-0.3,-4.6,-7.3,-10.7
4771,11112009,9604975,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3[C@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-1.5,-1.5,4.5,-1.7,-6.8,-23.2,4.1,-0.6,-28.1,1.3,0.3,-12.1,-17.3,-5.1,-10.7
4772,11113806,1727,C1=CN=CC=C1N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0,,-0.7,7.3,2.1,5.9,23.2,20.9,20,16.4,16.6,17.6,18.6,16.7,14.1,0.1,-10.7
4773,4238556,3233666,CS(=O)(=O)N1CCC[C@]2(C1)CCN(C2)CC3=CC=C(C=C3)C#N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-0.4,,5.3,,1.3,,4.6,,2.9,,-10.6
4774,4239782,3234889,C1CC2(CCNCC2)CN(C1)CC3=CC=C(C=C3)C#N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-10.4,,-5.1,,0,,-6.6,,-16.3,,-10.6
4775,4240400,3235505,CC(C)NC(=O)N1CCCC2(C1)CCN(CC2)C(=O)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-5.3,,-4.3,,-9.6,,1.8,,-9.4,,-10.6
4776,11110801,6603720,C1CN(C(=O)[C@@H]1N)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-0.7,1.1,-12.8,1.5,3.7,7,-0.1,1.4,-2.5,-1.2,-4.6,-4.8,-4.3,-2.4,-10.6
4777,11110915,6234,C1[C@H](C(=O)NO1)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 1 0 0 0 1 0 0 0 0 0,,11.4,1.1,1.4,0,-3.2,-14.8,-4.8,-9.8,-8.3,-0.3,1.9,-14.7,-12.7,-11.2,-10.6
4778,11111356,5311254,CN1[C@@H]2CC[C@H]1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-5.5,-16.4,-22,-9.8,-29.8,-12.4,-8,-13.1,-31.6,-10.7,-9.3,-13.2,-16.2,-13,-10.6
4779,11111602,64392,C1CCC(CC1)N=C(NC23CC4CC(C2)CC(C4)C3)N5CCOCC5.Cl,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-1,3.6,-2,-8.7,-11.1,-9.5,-0.6,-4.1,-31.7,-2.1,4,-10.3,-13.2,-8.2,-10.6
4780,11113508,6603760,CN1[C@@H](S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-6.4,-2,2.3,2.6,17.6,20.5,17,12.7,11.1,16.3,20.1,10.3,17.8,10.1,-10.6
4781,11114378,6605037,CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](CO)NC(=O)[C@@H]2CNCC[C@H]2N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UWisc,,Analysis Verified,Inactive,,,,,,,,,-5.8,-10.2,1.5,0.2,-6,7.4,-4.1,-11.9,-3.2,8,3.2,-4.9,1.5,3.7,-10.6
4782,4238005,3233118,CS(=O)(=O)N1CCC[C@]2(C1)CCN(C2)CC3=CC=CC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0,,,,,,-27.5,,-18.7,,2.4,,-7.2,,-8.2,,-10.5
4783,4238444,3233554,C1CN(CCC12CCN(CC2)C(=O)OC3=CC=CC=C3)C4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-5.3,,6.8,,-0.1,,1.9,,-1.6,,-10.5
4784,4238711,3233820,CC(C)NC(=O)N1CC[C@]2(C1)CCCN(C2)C(=O)OC3=CC=CC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-0.6,,-6.8,,-6.5,,-0.2,,-0.3,,-10.5
4785,4239819,3234926,CS(=O)(=O)N1CCC[C@]2(C1)CCN(C2)C3=CC=CC=N3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,4.1,,-1.5,,-2.9,,-1.1,,-6.2,,-10.5
4786,4266488,3247144,CN(C)C(=O)C1=CC2=C(N1CCC3=CC(=C(C=C3)O)OC)C[C@@H]4[C@H]2[C@](N(C4)C(=O)C5=CC=CC=C5)(CC6=CC=C(C=C6)OC)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,-6.9,,,,2,,2.1,,-4.4,,2.2,,-10.5
4787,4266702,3247358,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)C3=CC=CC=C3)C(=O)NC4=CC5=CC=CC=C5C=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0,,,,,,0.4,,1.8,,-4.2,,-13.7,,-20.5,,-10.5
4788,11110665,1820,C1=CC2=C(C=C1F)C=C(N2)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-17.3,-5.9,-5.1,0.6,3.9,8.2,-4.8,-5.3,-5.5,-5.5,-2.4,-10.8,-11.9,-6.6,-10.5
4789,11111852,6604021,COC1=C(C=C(C=C1)/C=C\C(=O)NC2=CC=CC=C2C(=O)O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-13.7,-6.6,1.2,7.1,11.6,10.5,-1.1,-6.1,-0.7,0.4,-1.5,0,-2.8,-8.1,-10.5
4790,11111987,6604056,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)[C@@H](CO)C3=CC=CC=C3)C.[N+](=O)([O-])[O-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,4.6,7.5,-7.5,-5.5,3.3,-5.6,0.9,9.3,-2.3,-0.3,6.7,-3.3,-6.2,-5.7,-10.5
4791,11114355,6605014,CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](C(C)C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@@H]2CNCC[C@H]2N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UWisc,,Analysis Verified,Inactive,,,,,,,,,4.4,-8.6,1.2,-6.2,5.4,10.4,13.9,3.5,0.5,-4.3,8.7,-4.3,-3.9,-3.4,-10.5
4792,4238112,3233223,C1C[C@@]2(CCN(C2)C3=CC=CC=C3)CN(C1)C(=O)C4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,0.4,,-14,,-5.4,,-10,,-11.3,,-10.4
4793,4240381,3235486,CC(C)NC(=O)N1CC2(C1)CCN(CC2)C(=O)C3=CC=CO3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,2.6,,-14.4,,-13.2,,-1.3,,-10,,-10.4
4794,11111679,4976,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3.5,2,-8.3,-11.9,-2.8,-6.7,-3.4,-2.5,-9.4,-5.5,-8.3,-9.2,-12.5,-8.2,-10.4
4795,11111815,6604010,CC1CCN(CC1)CC[C@@H]2CCCN2S(=O)(=O)C3=CC=CC(=C3)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,12.7,2.6,1.1,1.8,-12.4,-2.2,7.5,3.8,-22.4,2.3,5.5,-0.3,-8.8,0.1,-10.4
4796,11111900,5533,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,,0.4,0.9,8.4,4.8,-1.4,13.8,-2.4,-5.4,-0.5,-1.8,0.2,-3.2,-13.6,-11.4,-10.4
4797,11113158,6604619,C1[C@@H]([C@@H]([C@H](C[C@]1(C(=O)O)O)OC(=O)/C=C\C2=CC(=C(C=C2)O)O)O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Inactive,,,,,,,,,-8.2,-13.3,-4.2,-5.1,-0.7,1.5,4.2,-5.1,-5.6,-3.7,1.2,-10.3,-2.1,-7.4,-10.4
4798,11113647,909982,CC(=O)O[C@@H]1CN2CCC1CC2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,,,-0.7,-19.4,-13.6,-2.3,15.9,7.2,4.2,10.5,-5.6,-9.7,-14.7,-13.9,5,7.2,-10.4
4799,4238299,3233410,COC1=CC=C(C=C1)NC(=O)N2CC[C@]3(C2)CCCN(C3)C(=O)C4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-13,,1.8,,-0.7,,1.8,,-3.1,,-10.3
4800,4238913,3234020,C1CN(CCC12CCN(CC2)C(=O)C3=NC=CN=C3)C4=CC=CC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-5,,0.8,,-3.2,,6.7,,-4.5,,-10.3
4801,4239043,3234150,C1COCCN1C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC(=CC(=C4)F)F)CC5=CC=CS5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,-3,,,,-8.4,,-11,,-8.1,,-8.6,,-10.3
4802,4239721,3234828,CN1C=CC=C1C(=O)N2CCC3(CC2)CN(C3)C(=O)NC4=CC=CC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-1.4,,-4.8,,-6.3,,-6.2,,-9.1,,-10.3
4803,4240336,3235441,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC=C(C=C4)F)NC5=CC=CC=C5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0,,,,-0.1,,,,3.2,,10.4,,-9,,-14.3,,-10.3
4804,11113877,4577404,C1=CC2=C3C(=CC(=C2C(=C1)S(=O)(=O)N)[N+](=O)[O-])N=C(C(=N3)[O-])[O-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,,,2.5,-2.2,-5,-0.8,6,-1.5,-1.6,0.8,12.3,1.3,8.4,16.9,1.9,5.2,-10.3
4805,4238548,3233658,COC1=CC=C(C=C1)NC(=O)N2CCCC3(C2)CCN(CC3)C(=O)C4=CC=CO4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-11.3,,-3.4,,-2.8,,3.9,,-1.7,,-10.2
4806,4239205,3234312,C1C[C@@]2(CCN(C2)C(=O)NC3=CC=CC(=C3)C#N)CN(C1)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0,,,,,,-16.3,,8.8,,5.4,,11,,4.8,,-10.2
4807,4239307,3234414,C1CN(CCC12CN(C2)C3=CC=C(C=C3)C4=CC=CC=C4)C(=O)C5=CC=NC=C5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-0.5,,0.7,,1.4,,-1,,-0.7,,-10.2
4808,4239740,3234847,C1C[C@@]2(CCN(C2)C3=CC=CC=N3)CN(C1)C(=O)C4=CSN=N4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,3.5,,5.2,,5.7,,6.1,,-1.4,,-10.2
4809,4239838,3234945,COC(=O)N1CCC2(CC1)CN(C2)C(=O)NC3=CC=CC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-2.6,,1.3,,2.8,,-8.2,,-12.1,,-10.2
4810,4240153,3235259,C1C[C@@]2(CCN(C2)C3=CC=NC=C3)CN(C1)C(=O)C4=NC=CN=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-1.5,,-4.3,,-5.6,,-3.8,,-3.8,,-10.2
